Match_id,Final_Inning_Score,Final_Wickets_Lost,Max_over_played,Over,Inn_Score_atm,Inn_Wicks_atm,R_Rate_atm,Ptnr_Avg_atm,Ptnr_Balls_atm,L3_Runs,L3_Wicks,Runs_to_be_Scored
1,184,8,20,4,41,0,10.25,41.0,24.0,30.0,0.0,143
1,184,8,20,5,48,1,9.6,24.0,15.0,29.0,1.0,136
1,184,8,20,6,61,1,10.17,30.5,18.0,33.0,1.0,123
1,184,8,20,7,63,3,9.0,15.75,10.5,22.0,3.0,121
1,184,8,20,8,66,3,8.25,16.5,12.0,18.0,2.0,118
1,184,8,20,9,76,3,8.44,19.0,13.5,15.0,2.0,108
1,184,8,20,10,82,3,8.2,20.5,15.0,19.0,0.0,102
1,184,8,20,11,92,3,8.36,23.0,16.5,26.0,0.0,92
1,184,8,20,12,95,4,7.92,19.0,14.4,19.0,1.0,89
1,184,8,20,13,106,4,8.15,21.2,15.6,24.0,1.0,78
1,184,8,20,14,111,5,7.93,18.5,14.0,19.0,2.0,73
1,184,8,20,15,120,5,8.0,20.0,15.0,25.0,1.0,64
1,184,8,20,16,127,6,7.94,18.14,13.71,21.0,2.0,57
1,184,8,20,17,137,6,8.06,19.57,14.57,26.0,1.0,47
1,184,8,20,18,145,6,8.06,20.71,15.43,25.0,1.0,39
1,184,8,20,19,154,7,8.11,19.25,14.25,27.0,1.0,30
1,184,8,20,20,184,8,9.2,20.44,13.33,47.0,2.0,0
2,183,4,20,4,29,1,7.25,14.5,12.0,21.0,1.0,154
2,183,4,20,5,40,1,8.0,20.0,15.0,24.0,1.0,143
2,183,4,20,6,52,1,8.67,26.0,18.0,30.0,1.0,131
2,183,4,20,7,64,1,9.14,32.0,21.0,35.0,0.0,119
2,183,4,20,8,72,1,9.0,36.0,24.0,32.0,0.0,111
2,183,4,20,9,76,2,8.44,25.33,18.0,24.0,1.0,107
2,183,4,20,10,91,2,9.1,30.33,20.0,27.0,1.0,92
2,183,4,20,11,95,3,8.64,23.75,16.5,23.0,2.0,88
2,183,4,20,12,102,3,8.5,25.5,18.0,26.0,1.0,81
2,183,4,20,13,109,3,8.38,27.25,19.5,18.0,1.0,74
2,183,4,20,14,116,3,8.29,29.0,21.0,21.0,0.0,67
2,183,4,20,15,125,3,8.33,31.25,22.5,23.0,0.0,58
2,183,4,20,16,130,3,8.12,32.5,24.0,21.0,0.0,53
2,183,4,20,17,141,3,8.29,35.25,25.5,25.0,0.0,42
2,183,4,20,18,153,3,8.5,38.25,27.0,28.0,0.0,30
2,183,4,20,19,169,3,8.89,42.25,28.5,39.0,0.0,14
2,183,4,20,20,183,4,9.15,36.6,24.0,42.0,1.0,0
3,163,6,20,4,20,1,5.0,10.0,12.0,19.0,0.0,143
3,163,6,20,5,32,1,6.4,16.0,15.0,29.0,0.0,131
3,163,6,20,6,35,1,5.83,17.5,18.0,28.0,0.0,128
3,163,6,20,7,42,2,6.0,14.0,14.0,22.0,1.0,121
3,163,6,20,8,48,2,6.0,16.0,16.0,16.0,1.0,115
3,163,6,20,9,53,3,5.89,13.25,13.5,18.0,2.0,110
3,163,6,20,10,63,3,6.3,15.75,15.0,21.0,1.0,100
3,163,6,20,11,71,3,6.45,17.75,16.5,23.0,1.0,92
3,163,6,20,12,75,4,6.25,15.0,14.4,22.0,1.0,88
3,163,6,20,13,84,4,6.46,16.8,15.6,21.0,1.0,79
3,163,6,20,14,98,4,7.0,19.6,16.8,27.0,1.0,65
3,163,6,20,15,108,4,7.2,21.6,18.0,33.0,0.0,55
3,163,6,20,16,123,4,7.69,24.6,19.2,39.0,0.0,40
3,163,6,20,17,128,4,7.53,25.6,20.4,30.0,0.0,35
3,163,6,20,18,133,5,7.39,22.17,18.0,25.0,1.0,30
3,163,6,20,19,147,5,7.74,24.5,19.0,24.0,1.0,16
3,163,6,20,20,163,6,8.15,23.29,17.14,35.0,2.0,0
4,157,6,20,4,30,1,7.5,15.0,12.0,20.0,1.0,127
4,157,6,20,5,32,1,6.4,16.0,15.0,13.0,1.0,125
4,157,6,20,6,41,2,6.83,13.67,12.0,15.0,2.0,116
4,157,6,20,7,45,2,6.43,15.0,14.0,15.0,1.0,112
4,157,6,20,8,53,2,6.62,17.67,16.0,21.0,1.0,104
4,157,6,20,9,55,3,6.11,13.75,13.5,14.0,1.0,102
4,157,6,20,10,61,3,6.1,15.25,15.0,16.0,1.0,96
4,157,6,20,11,66,3,6.0,16.5,16.5,13.0,1.0,91
4,157,6,20,12,74,3,6.17,18.5,18.0,19.0,0.0,83
4,157,6,20,13,98,3,7.54,24.5,19.5,37.0,0.0,59
4,157,6,20,14,114,3,8.14,28.5,21.0,48.0,0.0,43
4,157,6,20,15,121,4,8.07,24.2,18.0,47.0,1.0,36
4,157,6,20,16,134,4,8.38,26.8,19.2,36.0,1.0,23
4,157,6,20,17,142,6,8.35,20.29,14.57,28.0,3.0,15
4,157,6,20,18,144,6,8.0,20.57,15.43,23.0,2.0,13
4,157,6,20,19,150,6,7.89,21.43,16.29,16.0,2.0,7
4,157,6,20,20,157,8,7.85,17.44,13.33,15.0,2.0,0
